code,type,status
ADVPRO-17LE0LPO,premium_lifetime,active
ADVPRO-1W0101KI,premium_lifetime,active
ADVPRO-BSUA7O7X,premium_lifetime,active
ADVPRO-TAU36O9T,premium_lifetime,active
ADVPRO-SWG76A6I,premium_lifetime,active
ADVPRO-BXBL8M6A,premium_lifetime,active
ADVPRO-JJW5TA0F,premium_lifetime,active
ADVPRO-VNX8VLW9,premium_lifetime,active
ADVPRO-J4ABY6DX,premium_lifetime,active
ADVPRO-0OAVGZ9V,premium_lifetime,active
ADVPRO-YKMEN2SM,premium_lifetime,active
ADVPRO-52LWKOAZ,premium_lifetime,active
ADVPRO-LMAYCNF1,premium_lifetime,active
ADVPRO-A8J7FIXZ,premium_lifetime,active
ADVPRO-SS3ONBB0,premium_lifetime,active
ADVPRO-45NZK4DJ,premium_lifetime,active
ADVPRO-NAA8U6ZZ,premium_lifetime,active
ADVPRO-QSGPLH0O,premium_lifetime,active
ADVPRO-RXP1LUAV,premium_lifetime,active
ADVPRO-7AJEX1O9,premium_lifetime,active
ADVPRO-ZY5RT8FH,premium_lifetime,active
ADVPRO-8FFYEG8I,premium_lifetime,active
ADVPRO-7JNU9ANQ,premium_lifetime,active
ADVPRO-1M4A08QT,premium_lifetime,active
ADVPRO-10BE54HF,premium_lifetime,active
ADVPRO-7CDZAWKF,premium_lifetime,active
ADVPRO-VNH9HW7P,premium_lifetime,active
ADVPRO-LZOJQTZE,premium_lifetime,active
ADVPRO-MKMPJT6U,premium_lifetime,active
ADVPRO-SZ7TM4SJ,premium_lifetime,active
ADVPRO-6J3OQAAA,premium_lifetime,active
ADVPRO-60DWSGHH,premium_lifetime,active
ADVPRO-MDTBJCE4,premium_lifetime,active
ADVPRO-WGPRQ32L,premium_lifetime,active
ADVPRO-QN83SPQV,premium_lifetime,active
ADVPRO-T4X4PZCT,premium_lifetime,active
ADVPRO-4YR3K40J,premium_lifetime,active
ADVPRO-LA6TU1PF,premium_lifetime,active
ADVPRO-ZT8011CV,premium_lifetime,active
ADVPRO-UHB7OGGM,premium_lifetime,active
ADVPRO-9PPYM5QO,premium_lifetime,active
ADVPRO-1J9V6YHZ,premium_lifetime,active
ADVPRO-HPV8S817,premium_lifetime,active
ADVPRO-FWDDRAS4,premium_lifetime,active
ADVPRO-CPZYRPXY,premium_lifetime,active
ADVPRO-RB4L085N,premium_lifetime,active
ADVPRO-8N0KQP4A,premium_lifetime,active
ADVPRO-M0NWL7KP,premium_lifetime,active
ADVPRO-I9IBZ7KO,premium_lifetime,active
ADVPRO-WPCIIAC2,premium_lifetime,active
